timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653815433158,21,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,21,0,0
1653815433180,36,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,36,0,0
1653815433216,29,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,28,0,0
1653815433245,24,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,23,0,0
1653815433271,32,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,32,0,0
1653815433304,25,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,25,0,0
1653815433330,17,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,17,0,0
1653815433348,22,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,22,0,0
1653815433371,15,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,14,0,0
1653815433386,14,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,14,0,0
1653815433401,17,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,17,0,0
1653815433419,14,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,14,0,0
1653815433433,12,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,11,0,0
1653815433445,25,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,25,0,0
1653815433472,37,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,37,0,0
1653815433511,30,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,30,0,0
1653815433543,57,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,57,0,0
1653815433601,29,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,29,0,0
1653815433632,36,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,35,0,0
1653815433668,29,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,29,0,0
1653815433699,20,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,19,0,0
1653815433720,29,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,29,0,0
1653815433753,32,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,31,0,0
1653815433788,35,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,35,0,0
1653815433826,19,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,19,0,0
1653815433846,13,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,12,0,0
1653815433859,15,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,15,0,0
1653815433875,30,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,29,0,0
1653815433906,16,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,15,0,0
1653815433922,17,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,17,0,0
1653815433940,16,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,15,0,0
1653815433957,15,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,14,0,0
1653815433972,14,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,14,0,0
1653815433987,26,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,26,0,0
1653815434014,19,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,19,0,0
1653815434034,18,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,17,0,0
1653815434052,15,HTTP Request,200,,查询测试 1-1,text,true,,60313,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,14,0,0
